,Sample_ID_LZ,LZ_Lane,Sample_ID_JZ,JZ_Lane,TubeID,Mom,Strain,O2,Sex,Group,Sex_Group,LZ_Seq_Name,Placenta,Fetus,LS,C,Stage,Viable,FoodCon,F.Mass_GD1,F.Mass_GD18.5,F.Mass_Gain,Start_AvgLean,Hb,Lung,Lung_drymass,RV,LV_Sep,Lung_H20,HctAv,Gluc,resid_FoodCon,resid_F.Mass_GD1,resid_F.Mass_GD18.5,resid_F.Mass_Gain,resid_Lung,resid_Lung_drymass,resid_RV,resid_LV_Sep,resid_Lung_H20,scaled_FoodCon,scaled_F.Mass_GD1,scaled_F.Mass_GD18.5,scaled_F.Mass_Gain,scaled_Start_AvgLean,scaled_Hb,scaled_Lung,scaled_Lung_drymass,scaled_RV,scaled_LV_Sep,scaled_Lung_H20,scaled_HctAv,scaled_Gluc
72,LZ146,L002,JZ146,L004,146,ME232,ME,1N,F,ME1N,ME1N_F,RNA201216ZC_LZ146_S77_L002_fastp_pman_Halign_liberal.bam,0.1137,0.3131,6,N,23,Y,58.17,28.07,33.1,5.03,21.75666667,11.6,0.2032,0.0446,0.032,0.096,0.1586,43.86685138,200,-16.48217357,0.50827813,-2.6912931,-3.19957123,-0.006898342,-0.000818829,0.004390848,-0.002454142,-0.003503535,-0.772400008,0.649469268,-0.175740995,-1.074425355,0.566005452,-1.687906759,0.099327785,0.236622504,0.773868848,0.208097304,0.059322744,-1.364616445,1.730210923
73,LZ147,L002,JZ147,L004,147,ME232,ME,1N,M,ME1N,ME1N_M,RNA201216ZC_LZ147_S78_L002_fastp_pman_Halign_liberal.bam,NA,0.3641,6,N,23,Y,58.17,28.07,33.1,5.03,21.75666667,11.6,0.2032,0.0446,0.032,0.096,0.1586,43.86685138,200,-16.48217357,0.50827813,-2.6912931,-3.19957123,-0.006898342,-0.000818829,0.004390848,-0.002454142,-0.003503535,-0.772400008,0.649469268,-0.175740995,-1.074425355,0.566005452,-1.687906759,0.099327785,0.236622504,0.773868848,0.208097304,0.059322744,-1.364616445,1.730210923
74,LZ166,L002,JZ166,L004,166,ME243,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ166_S55_L002_fastp_pman_Halign_liberal.bam,0.1116,0.3568,8,N,23,Y,88.18,25.5,34.48,8.98,20.19,16.5,0.1991,0.0416,NA,NA,0.1575,56.2339362,108,17.27062796,-0.091862302,1.422246931,1.514109233,0.002516533,-0.000661985,NA,NA,0.005474651,0.903144233,-0.228122124,0.144498151,0.521494908,-0.23400372,1.8188199,-0.053575151,-0.265180392,NA,NA,0.007067749,1.340673452,-1.230930457
75,LZ167,L002,JZ167,L004,167,ME243,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ167_S92_L002_fastp_pman_Halign_liberal.bam,0.1551,0.3891,8,N,23,Y,88.18,25.5,34.48,8.98,20.19,16.5,0.1991,0.0416,NA,NA,0.1575,56.2339362,108,17.27062796,-0.091862302,1.422246931,1.514109233,0.002516533,-0.000661985,NA,NA,0.005474651,0.903144233,-0.228122124,0.144498151,0.521494908,-0.23400372,1.8188199,-0.053575151,-0.265180392,NA,NA,0.007067749,1.340673452,-1.230930457
76,LZ168,L002,JZ168,L004,168,ME236,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ168_S56_L002_fastp_pman_Halign_liberal.bam,0.1465,0.3121,9,L,23,Y,55.56,28.62,34.45,5.83,22.34666667,14.4,0.1929,0.0444,0.0295,0.0766,0.1485,58.80637114,124,-20.50169669,0.316437401,-2.370732641,-2.687170042,-0.022287986,-0.002207684,0.001477308,-0.024994525,-0.012931656,-0.918123782,0.837280656,0.137536431,-0.751200998,0.867285501,0.315937046,-0.284794225,0.203168977,0.398297854,-1.007705171,-0.420473123,1.903391534,-0.715949347
77,LZ169,L002,JZ169,L004,169,ME236,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ169_S93_L002_fastp_pman_Halign_liberal.bam,0.1555,0.3651,9,L,23,Y,55.56,28.62,34.45,5.83,22.34666667,14.4,0.1929,0.0444,0.0295,0.0766,0.1485,58.80637114,124,-20.50169669,0.316437401,-2.370732641,-2.687170042,-0.022287986,-0.002207684,0.001477308,-0.024994525,-0.012931656,-0.918123782,0.837280656,0.137536431,-0.751200998,0.867285501,0.315937046,-0.284794225,0.203168977,0.398297854,-1.007705171,-0.420473123,1.903391534,-0.715949347
78,LZ211,L002,JZ211,L004,211,ME282,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ211_S57_L002_fastp_pman_Halign_liberal.bam,0.1261,0.3411,7,N,23,Y,76.37,26.2,34.25,8.05,20.27,15.5,0.1879,0.042,0.0385,0.0986,0.1459,51.06426296,118,5.269506179,0.507549124,1.052661908,0.545112784,-0.009373588,-0.000423185,0.011932877,0.008058912,-0.007469107,0.243758112,0.010910551,0.09112496,0.145746593,-0.193152188,1.103161398,-0.47126122,-0.198273339,1.750353433,0.371039904,-0.54398493,0.209811572,-0.909067263
79,LZ214,L002,JZ214,L004,214,ME282,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ214_S58_L002_fastp_pman_Halign_liberal.bam,0.1235,0.3665,7,N,23,Y,76.37,26.2,34.25,8.05,20.27,15.5,0.1879,0.042,0.0385,0.0986,0.1459,51.06426296,118,5.269506179,0.507549124,1.052661908,0.545112784,-0.009373588,-0.000423185,0.011932877,0.008058912,-0.007469107,0.243758112,0.010910551,0.09112496,0.145746593,-0.193152188,1.103161398,-0.47126122,-0.198273339,1.750353433,0.371039904,-0.54398493,0.209811572,-0.909067263
80,NA,NA,JZ067,L001_rd2,67,ME11,ME,2H,M,ME2H,ME2H_M,,0.1387,0.3435,8,N,23,Y,73.01,29.25,36.77,7.52,19.615,13.5,0.2256,0.049,0.0291,0.1067,0.1766,47.93434603,118,3.474315751,4.381118069,4.71551428,0.334396211,0.033976779,0.007896644,0.002991976,0.019645269,-0.000284874,0.05615969,1.052410064,0.675909488,-0.068389544,-0.527624107,-0.328155606,0.934699922,0.972600084,0.338206495,0.878668773,0.914404487,-0.474855249,-0.909067263
81,NA,NA,JZ113,L003_rd2,113,BW30,BW,1N,M,BW1N,BW1N_M,,0.1162,0.3253,2,S,23,Y,NA,20.98,22.2,1.22,17.8,12.6,0.1402,0.0274,0.0233,0.0738,0.1128,46.78449163,185,NA,-0.31378422,-4.248293071,-3.934508851,-0.01016144,-0.003286389,-0.004204909,-0.018325506,0.004346476,NA,-0.054690804,-1.549714671,-1.923166066,0.159031773,-0.030794777,-0.47380866,-0.674241161,-0.651468042,-0.263344462,-0.371934359,0.274459493,-0.046363297
