,Sample_ID,Lane,TubeID,Mom,Strain,O2,Sex,Order,Set,Group,Sex_Group,FoodCon,F.Mass_GD1,F.Mass_GD14.5,Start_AvgLean,F.Mass_Gain,Hb,Lung,Lung_drymass,RV,LV_Sep,Lung_H20,HctAv,Gluc,Seq_Name,Seq Read FWD,Seq Read REV,resid_FoodCon,resid_F.Mass_GD1,resid_F.Mass_GD14.5,resid_F.Mass_Gain,resid_Lung,resid_Lung_drymass,resid_RV,resid_LV_Sep,resid_Lung_H20,scaled_FoodCon,scaled_F.Mass_GD1,scaled_F.Mass_GD14.5,scaled_Start_AvgLean,scaled_F.Mass_Gain,scaled_Hb,scaled_Lung,scaled_Lung_drymass,scaled_RV,scaled_LV_Sep,scaled_Lung_H20,scaled_HctAv,scaled_Gluc
64,W210,L003,W210,ME289,ME,1N,F,64,Set6,ME1N,ME1N_F,58.81,22.53,23.6,18.54666667,1.07,13.2,0.1999,0.0412,0.0364,0.0679,0.1587,47.25583556,140,RNA210809ZC_Set6_W210_S51_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W210_S51_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W210_S51_L003_R2_001.fastq.gz,8.3690842,-0.400117157,-1.610642647,-1.210525489,0.014978264,0.002166072,0.008705555,-0.018308456,0.005653679,1.068868543,-1.077338722,-1.588594496,-1.04673345,-0.675486844,-0.716430732,0.585024363,0.42397019,2.134783522,-2.232003153,0.645395336,-0.567611876,-0.507749241
65,W223,L003,W223,ME296,ME,2H,F,65,Set6,ME2H,ME2H_F,43.18,19.81,23.94,15.37666667,4.13,14.2,0.1725,0.0407,0.0198,0.0758,0.1318,53.86640285,146,RNA210809ZC_Set6_W223_S55_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W223_S55_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W223_S55_L003_R2_001.fastq.gz,-4.644995296,0.709235316,1.543513918,0.834278602,-0.003688042,0.001754798,-0.009774494,0.001570417,-0.019636138,-1.372773918,-2.189370016,-1.422563629,-2.824728913,2.669156752,0.27077697,-1.006503287,0.323706969,-1.480224424,-1.535053552,-1.278276082,1.398748013,-0.365957565
66,W228,L003,W228,ME298,ME,2H,M,66,Set6,ME2H,ME2H_M,51.18,24.62,25.95,20.51666667,1.33,14.4,0.2009,0.0415,0.0278,0.0923,0.1594,52.12365586,216,RNA210809ZC_Set6_W228_S57_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W228_S57_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W228_S57_L003_R2_001.fastq.gz,-0.886582486,-0.68987248,-1.009503351,-0.31963087,0.0105507,0.002410932,0.001273913,-0.001352739,0.005387569,-0.123052889,-0.222873499,-0.44102821,0.058203793,-0.39130144,0.46821851,0.643109314,0.484128122,0.26194808,-0.079399322,0.695453701,0.880355622,1.28827866
67,W233,L003,W233,ME276,ME,2H,M,67,Set6,ME2H,ME2H_M,53.42,23.54,25.28,19.60666667,1.74,14,0.1933,0.0418,0.0318,0.0887,0.1515,48.90586808,213,RNA210809ZC_Set6_W233_S54_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W233_S54_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W233_S54_L003_R2_001.fastq.gz,2.104359993,-0.670594641,-0.87165399,-0.201059349,0.005457849,0.002736403,0.004734215,-0.001514009,-0.003478541,0.226869,-0.664415336,-0.768206683,-0.45219869,0.056837081,0.073335429,0.201663688,0.544286054,1.133034332,-0.396996608,0.130509306,-0.076798062,1.217382822
68,W235,L003,W235,ME276,ME,2H,F,68,Set6,ME2H,ME2H_F,53.42,23.54,25.28,19.60666667,1.74,14,0.1933,0.0418,0.0318,0.0887,0.1515,48.90586808,213,RNA210809ZC_Set6_W235_S52_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W235_S52_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W235_S52_L003_R2_001.fastq.gz,2.104359993,-0.670594641,-0.87165399,-0.201059349,0.005457849,0.002736403,0.004734215,-0.001514009,-0.003478541,0.226869,-0.664415336,-0.768206683,-0.45219869,0.056837081,0.073335429,0.201663688,0.544286054,1.133034332,-0.396996608,0.130509306,-0.076798062,1.217382822
69,W127,L003,127,ME214,ME,2H,M,69,Set7,ME2H,ME2H_M,62.7,25.96,27.99,20.98,2.03,14.3,0.2008,0.0406,0.0234,0.102,0.1602,49.43594475,159,RNA210809ZC_Set7_W127_S72_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W127_S72_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W127_S72_L003_R2_001.fastq.gz,10.25106951,0.090421957,0.619174084,0.528752127,0.009174167,0.001497964,-0.002851295,0.006596406,0.009085899,1.676545394,0.324965448,0.555156991,0.318079048,0.373813108,0.36949774,0.637300819,0.303654325,-0.696246797,0.776348923,0.752663259,0.080876987,-0.058742266
70,W149,L003,149,ME238,ME,2H,M,70,Set7,ME2H,ME2H_M,58.53,30.22,31.35,22.18333333,1.13,13.1,0.2256,0.0497,0.0225,0.0938,0.1759,47.11519877,132,RNA210809ZC_Set7_W149_S71_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W149_S71_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W149_S71_L003_R2_001.fastq.gz,5.088064993,2.896798152,2.910919072,0.01412092,0.030658853,0.010564283,-0.003037628,-0.006150779,-0.004519434,1.025128307,2.066602696,2.195932616,0.993006872,-0.609905597,-0.815151503,2.077807598,2.128444938,-0.892241204,0.052932881,1.875400853,-0.609445283,-0.69680481
71,W152,L003,152,ME254,ME,2H,UNK,71,Set7,ME2H,ME2H_UNK,51.09,26.5,27.69,22.33666667,1.19,15.1,0.1963,0.0414,0.0272,0.1058,0.1549,52.34295107,165,RNA210809ZC_Set7_W152_S67_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W152_S67_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W152_S67_L003_R2_001.fastq.gz,-2.478467445,-1.008428159,-0.885202072,0.123226087,0.000936403,0.002259991,0.00175331,0.005269801,0.001209606,-0.13711225,0.545736366,0.408659167,1.079008759,-0.54432435,1.159263902,0.375918541,0.464075478,0.131285142,1.111590503,0.373649932,0.94558653,0.083049411
72,W173,L003,W173,ME260,ME,1N,M,72,Set7,ME1N,ME1N_M,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,RNA210809ZC_Set7_W173_S64_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W173_S64_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W173_S64_L003_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104943945,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,W179,L003,W179,ME267,ME,1N,F,",",Set7,ME1N,ME1N_F,58.29,26.47,29.01,21.79333333,2.54,13.3,0.1593,0.0334,0.0305,0.1098,0.1259,45.60303298,185,RNA210809ZC_Set7_W179_S68_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W179_S68_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W179_S68_L003_R2_001.fastq.gz,5.169897484,-0.382082774,0.917140226,1.299223,-0.034566655,-0.005724801,0.004731073,0.011322962,-0.002027464,0.987636676,0.533471315,1.053249592,0.774262951,0.931253707,-0.617709962,-1.773224637,-1.14013605,0.8499313,1.464476377,-1.700196579,-1.059249668,0.555688332
74,W180,L003,W180,ME267,ME,1N,M,74,Set7,ME1N,ME1N_M,58.29,26.47,29.01,21.79333333,2.54,13.3,0.1593,0.0334,0.0305,0.1098,0.1259,45.60303298,185,RNA210809ZC_Set7_W180_S63_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W180_S63_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W180_S63_L003_R2_001.fastq.gz,5.169897484,-0.382082774,0.917140226,1.299223,-0.034566655,-0.005724801,0.004731073,0.011322962,-0.002027464,0.987636676,0.533471315,1.053249592,0.774262951,0.931253707,-0.617709962,-1.773224637,-1.14013605,0.8499313,1.464476377,-1.700196579,-1.059249668,0.555688332
75,W184,L003,W184,ME264,ME,2H,F,75,Set7,ME2H,ME2H_F,55.3,27.06,27.78,21.74666667,0.72,16,0.2005,0.0422,0.022,0.0996,0.1583,55.31428987,91,RNA210809ZC_Set7_W184_S62_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W184_S62_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W184_S62_L003_R2_001.fastq.gz,2.21840735,0.26429044,-0.271431607,-0.535722048,0.006761917,0.003076505,-0.003796604,0.001299307,0.002033313,0.520553442,0.774683986,0.452608514,0.748088468,-1.058044118,2.047750834,0.619875334,0.624496631,-1.001126985,0.564617398,0.616790557,1.829432223,-1.665714599
76,W188,L003,W188,ME265,ME,1N,F,76,Set7,ME1N,ME1N_F,44.51,24.3,26.31,18.89,2.01,12,0.1711,0.0378,0.0264,0.0887,0.1333,42.32071125,223,RNA210809ZC_Set7_W188_S65_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W188_S65_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W188_S65_L003_R2_001.fastq.gz,-6.214238418,0.955136995,0.794564374,-0.160572621,-0.014767657,-0.001243538,-0.001090823,0.001194148,-0.008797076,-1.165007797,-0.35370071,-0.265230822,-0.854164017,0.351952692,-1.901079975,-1.087822218,-0.25781971,-0.042932108,-0.396996608,-1.171008159,-2.03559943,1.453702283
77,W209,L003,W209,ME289,ME,1N,F,77,Set7,ME1N,ME1N_F,58.81,22.53,23.6,18.54666667,1.07,13.2,0.1999,0.0412,0.0364,0.0679,0.1587,47.25583556,140,RNA210809ZC_Set7_W209_S69_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W209_S69_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W209_S69_L003_R2_001.fastq.gz,8.3690842,-0.400117157,-1.610642647,-1.210525489,0.014978264,0.002166072,0.008705555,-0.018308456,0.005653679,1.068868543,-1.077338722,-1.588594496,-1.04673345,-0.675486844,-0.716430732,0.585024363,0.42397019,2.134783522,-2.232003153,0.645395336,-0.567611876,-0.507749241
78,W224,L003,W224,ME296,ME,2H,F,78,Set7,ME2H,ME2H_F,43.18,19.81,23.94,15.37666667,4.13,14.2,0.1725,0.0407,0.0198,0.0758,0.1318,53.86640285,146,RNA210809ZC_Set7_W224_S73_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W224_S73_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W224_S73_L003_R2_001.fastq.gz,-4.644995296,0.709235316,1.543513918,0.834278602,-0.003688042,0.001754798,-0.009774494,0.001570417,-0.019636138,-1.372773918,-2.189370016,-1.422563629,-2.824728913,2.669156752,0.27077697,-1.006503287,0.323706969,-1.480224424,-1.535053552,-1.278276082,1.398748013,-0.365957565
79,W229,L003,W229,ME298,ME,2H,F,79,Set7,ME2H,ME2H_F,51.18,24.62,25.95,20.51666667,1.33,14.4,0.2009,0.0415,0.0278,0.0923,0.1594,52.12365586,216,RNA210809ZC_Set7_W229_S66_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W229_S66_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W229_S66_L003_R2_001.fastq.gz,-0.886582486,-0.68987248,-1.009503351,-0.31963087,0.0105507,0.002410932,0.001273913,-0.001352739,0.005387569,-0.123052889,-0.222873499,-0.44102821,0.058203793,-0.39130144,0.46821851,0.643109314,0.484128122,0.26194808,-0.079399322,0.695453701,0.880355622,1.28827866
80,W234,L003,W234,ME276,ME,2H,M,80,Set7,ME2H,ME2H_M,53.42,23.54,25.28,19.60666667,1.74,14,0.1933,0.0418,0.0318,0.0887,0.1515,48.90586808,213,RNA210809ZC_Set7_W234_S70_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set7_W234_S70_L003_R1_001.fastq.gz,RNA210809ZC_Set7_W234_S70_L003_R2_001.fastq.gz,2.104359993,-0.670594641,-0.87165399,-0.201059349,0.005457849,0.002736403,0.004734215,-0.001514009,-0.003478541,0.226869,-0.664415336,-0.768206683,-0.45219869,0.056837081,0.073335429,0.201663688,0.544286054,1.133034332,-0.396996608,0.130509306,-0.076798062,1.217382822
